,ID,Count
0,18288,481.36457200005384
1,18289,384.1541121584167
2,18290,325.11270122679224
3,18291,268.62901006748825
4,18292,226.10584957181965
5,18293,202.4020318825219
6,18294,217.6371453089527
7,18295,252.40160402035818
8,18296,290.65619539767283
9,18297,375.59131118151805
10,18298,533.1092104708446
11,18299,591.0214608340868
12,18300,597.2831694405705
13,18301,528.2503983281088
14,18302,564.8283573463106
15,18303,557.6941155733498
16,18304,543.4598490143491
17,18305,556.1201341749986
18,18306,569.8069289432684
19,18307,604.6227131350552
20,18308,581.021546406519
21,18309,542.322134199236
22,18310,544.2896109471748
23,18311,531.4240238650016
24,18312,366.1616545910222
25,18313,292.21615695858736
26,18314,247.30487354965874
27,18315,204.3391818155011
28,18316,171.99290684798666
29,18317,153.96202212962353
30,18318,165.55098123586862
31,18319,191.99541122339184
32,18320,221.09469540257612
33,18321,285.7026543952237
34,18322,405.52247078062095
35,18323,449.5748307746006
36,18324,454.33795153022754
37,18325,401.82649729811277
38,18326,429.6504103460092
39,18327,424.22357604246713
40,18328,413.3959354176545
41,18329,423.0262888579926
42,18330,433.43748176646625
43,18331,459.92095372739647
44,18332,441.9681529558465
45,18333,412.5305050071371
46,18334,414.0271139877302
47,18335,404.2405926537653
48,18336,360.5625462830431
49,18337,287.747775598502
50,18338,243.5232466241353
51,18339,201.21455858911023
52,18340,169.36290203570877
53,18341,151.6077339992018
54,18342,163.01948220310624
55,18343,189.05954099067876
56,18344,217.7138576486574
57,18345,281.3338733233151
58,18346,399.32148220972306
59,18347,442.7002218730762
60,18348,447.390508052334
61,18349,395.6820251744522
62,18350,423.08047285547127
63,18351,417.73662220861206
64,18352,407.0745508940154
65,18353,416.55764316901707
66,18354,426.80963481766764
67,18355,452.88813857392284
68,18356,435.2098604747804
69,18357,406.22235408822075
70,18358,407.6960778877144
71,18359,398.0592057379831
72,18360,509.57724884691254
73,18361,406.66930429373673
74,18362,344.16748862090856
75,18363,284.3733001410933
76,18364,239.35786610608474
77,18365,214.26477262167322
78,18366,230.39281285831612
79,18367,267.1948092208737
80,18368,307.6914941946334
81,18369,397.60463934321524
82,18370,564.3546297517139
83,18371,625.6611049915064
84,18372,632.2898110292507
85,18373,559.2110436459234
86,18374,597.9328291888119
87,18375,590.3804509982672
88,18376,575.3119170545428
89,18377,588.7142188794899
90,18378,603.2031938253785
91,18379,640.0595238439836
92,18380,615.0750976716656
93,18381,574.107521012165
94,18382,576.1903111606366
95,18383,562.5706747115015
96,18384,503.3544416640265
97,18385,401.7031786012245
98,18386,339.96461668117354
99,18387,280.9006172088327
100,18388,236.43489838753837
101,18389,211.6482343654487
102,18390,227.57932372789625
103,18391,263.93190495697274
104,18392,303.9340563488113
105,18393,392.7492086675866
106,18394,557.4628973369314
107,18395,618.0207159690303
108,18396,624.5684742022204
109,18397,552.3821231887732
110,18398,590.6310496985009
111,18399,583.1708989246204
112,18400,568.2863774764945
113,18401,581.525014341414
114,18402,595.8370541953811
115,18403,632.2433055739102
116,18404,607.5639818507249
117,18405,567.0966891636327
118,18406,569.1540448926405
119,18407,555.7007274299119
120,18408,518.6564515826267
121,18409,413.91498307635436
122,18410,350.29956459427996
123,18411,289.440015443724
124,18412,243.62253568794426
125,18413,218.082355361397
126,18414,234.4977509447897
127,18415,271.95545316315383
128,18416,313.17367273021233
129,18417,404.6888118360537
130,18418,574.4098080587307
131,18419,636.8085885750512
132,18420,643.5553991124143
133,18421,569.1745780242743
134,18422,608.5862745512741
135,18423,600.8993346767377
136,18424,585.562322744809
137,18425,599.2034150881108
138,18426,613.9505419457344
139,18427,651.4635458898149
140,18428,626.0339690146992
141,18429,584.3364678247683
142,18430,586.4563673105517
143,18431,572.594068064386
144,18432,502.5510788973303
145,18433,401.06205308361734
146,18434,339.4220270218215
147,18435,280.45229475783464
148,18436,236.05754402570093
149,18437,211.3104399664083
150,18438,227.21610302292243
151,18439,263.51066487675274
152,18440,303.44897211354674
153,18441,392.12237384747476
154,18442,556.5731764991563
155,18443,617.0343437605818
156,18444,623.5716516535455
157,18445,551.5005113581683
158,18446,589.688391891382
159,18447,582.2401476526775
160,18448,567.3793821692195
161,18449,580.5968899309489
162,18450,594.8860875111969
163,18451,631.2342338559536
164,18452,606.5942987785122
165,18453,566.1915926203606
166,18454,568.2456647725213
167,18455,554.8138190470885
168,18456,489.86516095605816
169,18457,390.93802687330583
170,18458,330.8539825720777
171,18459,273.37282573043615
172,18460,230.098733551154
173,18461,205.9763216765228
174,18462,221.4804774140611
175,18463,256.85885412228924
176,18464,295.78899699610747
177,18465,382.22401233468986
178,18466,542.5235764846195
179,18467,601.4585199675688
180,18468,607.8308063234801
181,18469,537.5789608423279
182,18470,574.8028631071865
183,18471,567.5426352098777
184,18472,553.057000652178
185,18473,565.9408583116704
186,18474,579.8693530786893
187,18475,615.299961642294
188,18476,591.2820134784148
189,18477,551.8991945246688
190,18478,553.9014156474278
191,18479,540.8086305664306
192,18480,374.66236805112965
193,18481,299.00017103426455
194,18482,253.04623898477465
195,18483,209.0830669588717
196,18484,175.9858493092029
197,18485,157.5363642745553
198,18486,169.39436963244333
199,18487,196.4527266085555
200,18488,226.22757217872643
201,18489,292.33545269443
202,18490,414.9369746821591
203,18491,460.01204277474784
204,18492,464.8857428993823
205,18493,411.1551964433718
206,18494,439.62506219875
207,18495,434.0722399256009
208,18496,422.9932276204212
209,18497,432.84715683416266
210,18498,443.50005328145085
211,18499,470.5983586192406
212,18500,452.22877030794723
213,18501,422.10770560323976
214,18502,423.63905946753755
215,18503,413.6253368070869
216,18504,369.06314683244244
217,18505,294.53169956552694
218,18506,249.26453579957732
219,18507,205.95838072183676
220,18508,173.35579146067542
221,18509,155.18202866794178
222,18510,166.86281954988294
223,18511,193.51679717156048
224,18512,222.8466662473831
225,18513,287.96658352239245
226,18514,408.7358610631336
227,18515,453.13729524097766
228,18516,457.9381593204729
